,TEMP,timestamp
215,30.15,1637421599.5
216,30.15,1637421599.75
217,30.17,1637421600.0
218,30.17,1637421600.25
219,30.17,1637421600.5
220,30.17,1637421600.75
221,30.21,1637421601.0
222,30.21,1637421601.25
223,30.21,1637421601.5
224,30.21,1637421601.75
225,30.17,1637421602.0
226,30.17,1637421602.25
227,30.17,1637421602.5
228,30.17,1637421602.75
229,30.17,1637421603.0
230,30.17,1637421603.25
231,30.17,1637421603.5
232,30.17,1637421603.75
233,30.17,1637421604.0
234,30.17,1637421604.25
235,30.17,1637421604.5
236,30.17,1637421604.75
237,30.19,1637421605.0
238,30.19,1637421605.25
239,30.19,1637421605.5
240,30.19,1637421605.75
241,30.17,1637421606.0
242,30.17,1637421606.25
243,30.17,1637421606.5
244,30.17,1637421606.75
245,30.15,1637421607.0
