,BVP,timestamp
45091,34.47,1637350055.53125
45092,26.41,1637350055.546875
45093,18.89,1637350055.5625
45094,12.41,1637350055.578125
45095,7.41,1637350055.59375
45096,4.14,1637350055.609375
45097,2.48,1637350055.625
45098,1.98,1637350055.640625
45099,1.96,1637350055.65625
45100,1.77,1637350055.671875
45101,1.07,1637350055.6875
45102,-0.15,1637350055.703125
45103,-1.53,1637350055.71875
45104,-2.55,1637350055.734375
45105,-2.81,1637350055.75
45106,-2.25,1637350055.765625
45107,-1.2,1637350055.78125
45108,-0.37,1637350055.796875
45109,-0.51,1637350055.8125
45110,-2.16,1637350055.828125
45111,-5.38,1637350055.84375
45112,-9.68,1637350055.859375
45113,-14.23,1637350055.875
45114,-18.17,1637350055.890625
45115,-20.88,1637350055.90625
45116,-22.23,1637350055.921875
45117,-22.56,1637350055.9375
45118,-22.57,1637350055.953125
45119,-23.12,1637350055.96875
45120,-24.98,1637350055.984375
45121,-28.55,1637350056.0
45122,-33.74,1637350056.015625
45123,-39.64,1637350056.03125
45124,-44.61,1637350056.046875
45125,-46.52,1637350056.0625
45126,-43.35,1637350056.078125
45127,-33.96,1637350056.09375
45128,-18.71,1637350056.109375
45129,0.44,1637350056.125
45130,20.42,1637350056.140625
45131,37.91,1637350056.15625
45132,50.41,1637350056.171875
45133,56.83,1637350056.1875
45134,57.53,1637350056.203125
45135,53.88,1637350056.21875
45136,47.58,1637350056.234375
45137,40.12,1637350056.25
45138,32.51,1637350056.265625
45139,25.33,1637350056.28125
45140,18.95,1637350056.296875
45141,13.64,1637350056.3125
45142,9.58,1637350056.328125
45143,6.83,1637350056.34375
45144,5.18,1637350056.359375
45145,4.26,1637350056.375
45146,3.63,1637350056.390625
45147,2.95,1637350056.40625
45148,2.12,1637350056.421875
45149,1.25,1637350056.4375
45150,0.6,1637350056.453125
45151,0.46,1637350056.46875
45152,0.88,1637350056.484375
45153,1.79,1637350056.5
45154,2.89,1637350056.515625
45155,3.79,1637350056.53125
45156,4.06,1637350056.546875
45157,3.34,1637350056.5625
45158,1.38,1637350056.578125
45159,-1.88,1637350056.59375
45160,-6.26,1637350056.609375
45161,-11.26,1637350056.625
45162,-16.12,1637350056.640625
45163,-20.11,1637350056.65625
45164,-22.7,1637350056.671875
45165,-23.87,1637350056.6875
45166,-24.09,1637350056.703125
45167,-24.19,1637350056.71875
45168,-25.09,1637350056.734375
45169,-27.47,1637350056.75
45170,-31.66,1637350056.765625
45171,-37.42,1637350056.78125
45172,-43.93,1637350056.796875
45173,-49.7,1637350056.8125
45174,-52.77,1637350056.828125
45175,-51.09,1637350056.84375
45176,-43.27,1637350056.859375
45177,-29.28,1637350056.875
45178,-10.78,1637350056.890625
45179,9.15,1637350056.90625
45180,27.06,1637350056.921875
45181,40.13,1637350056.9375
45182,47.09,1637350056.953125
45183,48.3,1637350056.96875
45184,45.29,1637350056.984375
45185,39.83,1637350057.0
45186,33.4,1637350057.015625
45187,26.84,1637350057.03125
45188,20.56,1637350057.046875
45189,14.73,1637350057.0625
45190,9.6,1637350057.078125
45191,5.41,1637350057.09375
45192,2.35,1637350057.109375
45193,0.4,1637350057.125
45194,-0.68,1637350057.140625
45195,-1.29,1637350057.15625
45196,-1.84,1637350057.171875
45197,-2.6,1637350057.1875
45198,-3.6,1637350057.203125
45199,-4.65,1637350057.21875
45200,-5.42,1637350057.234375
45201,-5.62,1637350057.25
45202,-5.13,1637350057.265625
45203,-4.04,1637350057.28125
45204,-2.63,1637350057.296875
45205,-1.27,1637350057.3125
45206,-0.35,1637350057.328125
45207,-0.15,1637350057.34375
45208,-0.9,1637350057.359375
45209,-2.62,1637350057.375
45210,-5.15,1637350057.390625
45211,-8.14,1637350057.40625
45212,-11.14,1637350057.421875
45213,-13.7,1637350057.4375
45214,-15.63,1637350057.453125
45215,-17.02,1637350057.46875
45216,-18.16,1637350057.484375
45217,-19.48,1637350057.5
45218,-21.43,1637350057.515625
45219,-24.43,1637350057.53125
45220,-28.66,1637350057.546875
45221,-33.91,1637350057.5625
45222,-39.29,1637350057.578125
45223,-43.11,1637350057.59375
45224,-43.3,1637350057.609375
45225,-38.03,1637350057.625
45226,-26.64,1637350057.640625
45227,-10.21,1637350057.65625
45228,8.63,1637350057.671875
45229,26.47,1637350057.6875
45230,40.31,1637350057.703125
45231,48.49,1637350057.71875
45232,50.98,1637350057.734375
45233,49.0,1637350057.75
45234,44.22,1637350057.765625
45235,38.1,1637350057.78125
45236,31.59,1637350057.796875
45237,25.19,1637350057.8125
45238,19.23,1637350057.828125
45239,14.08,1637350057.84375
45240,10.06,1637350057.859375
45241,7.32,1637350057.875
45242,5.71,1637350057.890625
45243,4.85,1637350057.90625
45244,4.28,1637350057.921875
45245,3.61,1637350057.9375
45246,2.69,1637350057.953125
45247,1.55,1637350057.96875
45248,0.34,1637350057.984375
45249,-0.76,1637350058.0
45250,-1.66,1637350058.015625
45251,-2.34,1637350058.03125
45252,-2.86,1637350058.046875
45253,-3.38,1637350058.0625
45254,-4.07,1637350058.078125
45255,-5.1,1637350058.09375
45256,-6.58,1637350058.109375
45257,-8.61,1637350058.125
45258,-11.22,1637350058.140625
45259,-14.36,1637350058.15625
